product id,product_Name,types_of_product, product_Brand,unit_price,quantity,price,tax,total_price,order _date,delivery_date,product_availability,product_target_availability
Au074,Quaker Oats,Snacks,Pepsi,23,5 kg,513,254,767,05-05-2021,17-07-2021,15 kg,62 kg
Au075,Walker,Snacks,Pepsi,21,8 kg,930,135,1065,25-02-2021,03-11-2021,22 kg,70 kg
Au076,Quaker Oats,Snacks,Pepsi,45,11 kg,595,172,767,17-05-2021,06-08-2021,22 kg,75 kg
Au077,Gamesa,Snacks,Pepsi,36,10 kg,763,307,1070,27-03-2021,23-07-2021,24 kg,79 kg
Au078,Walker,Snacks,Pepsi,32,8 kg,820,112,932,23-04-2021,26-10-2021,17 kg,67 kg
Au079,Quaker Oats,Snacks,Pepsi,50,12 kg,525,152,677,12-01-2021,19-11-2021,25 kg,62 kg
Au080,Quaker Oats,Snacks,Pepsi,44,12 kg,541,106,647,07-03-2021,24-09-2021,21 kg,60 kg
Au081,Quaker Oats,Snacks,Pepsi,18,12 kg,569,164,733,05-02-2021,17-11-2021,20 kg,51 kg
Au082,Gamesa,Snacks,Pepsi,28,12 kg,941,273,1214,04-03-2021,21-10-2021,22 kg,72 kg
Au083,Quaker Oats,Snacks,Pepsi,48,12 kg,719,380,1099,26-04-2021,20-11-2021,16 kg,77 kg
Au084,Gamesa,Snacks,Pepsi,35,10 kg,721,205,926,18-04-2021,25-07-2021,25 kg,72 kg
Au085,Walker,Snacks,Pepsi,42,10 kg,569,230,799,14-02-2021,28-08-2021,23 kg,79 kg
Au086,Quaker Oats,Snacks,Pepsi,12,6 kg,945,317,1262,31-01-2021,11-08-2021,21 kg,76 kg
Au087,Walker,Snacks,Pepsi,46,13 kg,738,214,952,18-05-2021,04-10-2021,25 kg,54 kg
Au088,Walker,Snacks,Pepsi,23,11 kg,674,264,938,31-01-2021,24-10-2021,30 kg,68 kg
Au089,Quaker Oats,Snacks,Pepsi,12,8 kg,504,129,633,14-04-2021,17-09-2021,27 kg,73 kg
Au090,Walker,Snacks,Pepsi,49,9 kg,838,351,1189,20-01-2021,30-10-2021,24 kg,52 kg
Au091,Walker,Snacks,Pepsi,47,9 kg,700,255,955,17-02-2021,15-10-2021,23 kg,73 kg
Au092,Gamesa,Snacks,Pepsi,31,14 kg,520,379,899,03-03-2021,18-06-2021,20 kg,58 kg
Au093,Walker,Snacks,Pepsi,38,12 kg,658,219,877,18-02-2021,21-09-2021,15 kg,60 kg
Au094,Gamesa,Snacks,Pepsi,23,8 kg,897,247,1144,20-05-2021,07-06-2021,20 kg,65 kg
Au095,Walker,Snacks,Pepsi,43,14 kg,827,145,972,20-05-2021,03-09-2021,20 kg,63 kg
Au096,Walker,Snacks,Pepsi,41,14 kg,875,204,1079,26-01-2021,22-11-2021,23 kg,58 kg
Au097,Gamesa,Snacks,Pepsi,17,9 kg,971,214,1185,23-05-2021,06-11-2021,30 kg,63 kg
Au098,Quaker Oats,Snacks,Pepsi,41,9 kg,829,383,1212,04-01-2021,06-10-2021,27 kg,70 kg
Au099,Walker,Snacks,Pepsi,25,10 kg,905,165,1070,12-04-2021,29-08-2021,18 kg,78 kg
Au100,Quaker Oats,Snacks,Pepsi,12,5 kg,972,157,1129,12-05-2021,27-07-2021,18 kg,56 kg
Au101,Lite Horlicks,Health Supplement,HUL,47,7 kg,978,103,1081,06-02-2021,15-11-2021,17 kg,68 kg
Au102,Mother's Horlicks,Health Supplement,HUL,10,9 kg,991,334,1325,03-05-2021,22-06-2021,20 kg,65 kg
Au103,Horlicks,Health Supplement,HUL,10,11 kg,647,111,758,17-02-2021,20-08-2021,16 kg,53 kg
Au104,Mother's Horlicks,Health Supplement,HUL,46,10 kg,990,134,1124,16-03-2021,18-08-2021,17 kg,74 kg
Au105,Horlicks,Health Supplement,HUL,32,14 kg,668,230,898,23-05-2021,13-10-2021,21 kg,74 kg
Au106,Mother's Horlicks,Health Supplement,HUL,34,11 kg,776,223,999,12-05-2021,15-09-2021,20 kg,66 kg
Au107,Lite Horlicks,Health Supplement,HUL,30,10 kg,548,257,805,26-01-2021,17-08-2021,21 kg,67 kg
Au108,Women's Horlicks,Health Supplement,HUL,10,7 kg,764,254,1018,11-01-2021,29-09-2021,25 kg,53 kg
Au109,Horlicks,Health Supplement,HUL,29,13 kg,882,278,1160,25-01-2021,04-10-2021,15 kg,59 kg
Au110,Mother's Horlicks,Health Supplement,HUL,37,9 kg,901,184,1085,30-03-2021,18-10-2021,28 kg,55 kg
Au111,Lite Horlicks,Health Supplement,HUL,50,6 kg,541,321,862,17-01-2021,01-10-2021,15 kg,79 kg
Au112,Women's Horlicks,Health Supplement,HUL,47,15 kg,772,217,989,10-04-2021,07-10-2021,17 kg,74 kg
Au113,Women's Horlicks,Health Supplement,HUL,26,9 kg,781,399,1180,05-05-2021,20-10-2021,25 kg,80 kg
Au114,Mother's Horlicks,Health Supplement,HUL,20,6 kg,825,150,975,04-02-2021,06-08-2021,19 kg,58 kg
Au115,Women's Horlicks,Health Supplement,HUL,11,6 kg,612,262,874,14-05-2021,01-07-2021,30 kg,63 kg
Au116,Women's Horlicks,Health Supplement,HUL,40,13 kg,657,239,896,01-04-2021,30-08-2021,30 kg,64 kg
Au117,Mother's Horlicks,Health Supplement,HUL,17,7 kg,698,213,911,16-04-2021,06-10-2021,28 kg,53 kg
Au118,Lite Horlicks,Health Supplement,HUL,49,10 kg,520,186,706,29-03-2021,14-08-2021,17 kg,74 kg
Au119,Lite Horlicks,Health Supplement,HUL,46,14 kg,887,185,1072,31-03-2021,15-11-2021,26 kg,54 kg
Au120,Women's Horlicks,Health Supplement,HUL,48,10 kg,915,263,1178,31-05-2021,26-08-2021,26 kg,57 kg
Au121,Lite Horlicks,Health Supplement,HUL,48,11 kg,695,119,814,27-05-2021,03-11-2021,22 kg,52 kg
Au122,Women's Horlicks,Health Supplement,HUL,24,5 kg,574,293,867,04-04-2021,10-07-2021,18 kg,51 kg
Au123,Lite Horlicks,Health Supplement,HUL,48,9 kg,509,236,745,23-02-2021,25-10-2021,22 kg,59 kg
Au124,Women's Horlicks,Health Supplement,HUL,10,7 kg,957,317,1274,19-04-2021,24-07-2021,19 kg,73 kg
Au125,Mother's Horlicks,Health Supplement,HUL,50,9 kg,508,262,770,28-03-2021,11-06-2021,29 kg,75 kg
Au126,Lite Horlicks,Health Supplement,HUL,46,7 kg,991,368,1359,04-02-2021,02-11-2021,19 kg,71 kg
Au127,Women's Horlicks,Health Supplement,HUL,36,11 kg,942,379,1321,19-04-2021,03-07-2021,18 kg,68 kg
Au128,Lite Horlicks,Health Supplement,HUL,26,13 kg,639,203,842,05-04-2021,25-07-2021,29 kg,63 kg
Au129,Mother's Horlicks,Health Supplement,HUL,24,5 kg,847,136,983,07-02-2021,17-11-2021,28 kg,57 kg
Au130,Lite Horlicks,Health Supplement,HUL,47,7 kg,623,237,860,13-04-2021,28-10-2021,26 kg,68 kg
Au131,Horlicks,Health Supplement,HUL,31,7 kg,886,332,1218,13-04-2021,21-06-2021,28 kg,60 kg
Au132,Horlicks,Health Supplement,HUL,30,9 kg,615,367,982,28-02-2021,08-11-2021,29 kg,50 kg
Au133,Horlicks,Health Supplement,HUL,46,10 kg,921,259,1180,25-04-2021,13-06-2021,26 kg,80 kg
Au134,Women's Horlicks,Health Supplement,HUL,25,8 kg,735,395,1130,10-03-2021,10-07-2021,23 kg,64 kg
Au135,Horlicks,Health Supplement,HUL,50,13 kg,774,217,991,18-04-2021,18-07-2021,25 kg,79 kg
Au136,Women's Horlicks,Health Supplement,HUL,32,12 kg,977,361,1338,27-05-2021,17-09-2021,28 kg,78 kg
Au137,Horlicks,Health Supplement,HUL,38,6 kg,826,343,1169,12-03-2021,24-06-2021,22 kg,51 kg
Au138,Lite Horlicks,Health Supplement,HUL,24,15 kg,785,163,948,13-05-2021,27-09-2021,16 kg,56 kg
Au139,Mother's Horlicks,Health Supplement,HUL,27,14 kg,823,358,1181,13-04-2021,28-09-2021,22 kg,60 kg
Au140,Horlicks,Health Supplement,HUL,35,7 kg,854,275,1129,16-05-2021,13-06-2021,15 kg,78 kg
Au141,Mother's Horlicks,Health Supplement,HUL,15,10 kg,856,186,1042,16-01-2021,22-07-2021,28 kg,76 kg
Au142,Aloe Vera Juice,Health Supplement,Patanjali,28,9 litres,822,140,962,15-04-2021,29-06-2021,31 litres,53 litres
Au143,Amla Juice,Health Supplement,Patanjali,10,11 litres,792,329,1121,06-04-2021,24-08-2021,38 litres,54 litres
Au144,Gilloy Juice,Health Supplement,Patanjali,47,6 litres,850,102,952,16-02-2021,07-10-2021,30 litres,50 litres
Au145,Tulsi Juice,Health Supplement,Patanjali,15,14 litres,534,315,849,19-03-2021,02-09-2021,38 litres,51 litres
Au146,Gilloy Juice,Health Supplement,Patanjali,28,8 litres,504,166,670,23-04-2021,08-06-2021,33 litres,51 litres
Au147,Aloe Vera Juice,Health Supplement,Patanjali,49,5 litres,556,239,795,13-04-2021,22-07-2021,39 litres,53 litres
Au148,Tulsi Juice,Health Supplement,Patanjali,45,9 litres,608,180,788,29-01-2021,05-11-2021,38 litres,53 litres
Au149,Amla Juice,Health Supplement,Patanjali,36,15 litres,740,278,1018,06-02-2021,30-11-2021,39 litres,54 litres
Au150,Mango Panna,Health Supplement,Patanjali,36,15 litres,665,171,836,12-03-2021,17-11-2021,34 litres,54 litres
Au151,Mango Panna,Health Supplement,Patanjali,17,9 litres,634,277,911,09-04-2021,02-10-2021,38 litres,54 litres
Au152,Aloe Vera Juice,Health Supplement,Patanjali,31,7 litres,865,292,1157,12-02-2021,23-10-2021,39 litres,51 litres
Au153,Aloe Vera Juice,Health Supplement,Patanjali,46,15 litres,867,139,1006,19-05-2021,21-11-2021,38 litres,51 litres
Au154,Gilloy Juice,Health Supplement,Patanjali,13,10 litres,658,394,1052,01-05-2021,14-10-2021,35 litres,52 litres
Au155,Mango Panna,Health Supplement,Patanjali,46,10 litres,703,132,835,15-01-2021,15-09-2021,34 litres,50 litres
Au156,Gilloy Juice,Health Supplement,Patanjali,40,7 litres,630,321,951,09-03-2021,26-07-2021,34 litres,55 litres
Au157,Aloe Vera Juice,Health Supplement,Patanjali,28,11 litres,761,399,1160,17-01-2021,12-10-2021,39 litres,53 litres
Au158,Aloe Vera Juice,Health Supplement,Patanjali,46,9 litres,841,116,957,19-05-2021,31-08-2021,32 litres,51 litres
Au159,Sprite,Beverage,Coca Cola,24,10 litres,727,241,968,07-01-2021,22-06-2021,30 litres,50 litres
Au160,Quaker Oats,Snacks,Pepsi,36,8 kg,890,101,991,21-02-2021,17-08-2021,22 kg,37 kg
Au161,Walker,Snacks,Pepsi,19,10 kg,840,153,993,05-05-2021,12-08-2021,25 kg,37 kg
Au162,Walker,Snacks,Pepsi,36,14 kg,560,187,747,08-03-2021,19-08-2021,26 kg,38 kg
Au163,Walker,Snacks,Pepsi,29,7 kg,613,250,863,04-05-2021,12-07-2021,26 kg,39 kg
Au164,Quaker Oats,Snacks,Pepsi,30,12 kg,763,229,992,17-05-2021,13-09-2021,25 kg,49 kg
Au165,Walker,Snacks,Pepsi,16,6 kg,508,125,633,04-05-2021,14-11-2021,26 kg,49 kg
Au166,Walker,Snacks,Pepsi,27,12 kg,697,343,1040,21-02-2021,11-09-2021,20 kg,41 kg
Au167,Walker,Snacks,Pepsi,29,7 kg,533,210,743,10-01-2021,29-08-2021,30 kg,42 kg
Au168,Gamesa,Snacks,Pepsi,32,7 kg,629,382,1011,13-05-2021,23-07-2021,24 kg,37 kg
Au169,Walker,Snacks,Pepsi,10,12 kg,586,103,689,12-01-2021,30-06-2021,27 kg,45 kg
Au170,Walker,Snacks,Pepsi,34,12 Kg,966,249,1215,06-04-2021,12-10-2021,30 kg,40 Kg
Au171,Gilloy Juice,Health Supplement,Patanjali,46,10 litres,926,144,1070,13-04-2021,12-11-2021,22 litres,43 litres
Au172,Aloe Vera Juice,Health Supplement,Patanjali,30,9 litres,551,236,787,25-02-2021,09-11-2021,26 litres,45 litres
Au173,Amla Juice,Health Supplement,Patanjali,23,14 litres,688,277,965,07-03-2021,18-08-2021,22 litres,33 litres
Au174,Mango Panna,Health Supplement,Patanjali,41,10 litres,538,100,638,21-02-2021,08-06-2021,21 litres,44 litres
Au175,Tulsi Juice,Health Supplement,Patanjali,34,10 litres,807,115,922,07-03-2021,16-06-2021,22 litres,42 litres
Au176,Amla Juice,Health Supplement,Patanjali,13,8 litres,977,344,1321,19-04-2021,03-10-2021,28 litres,39 litres
Au177,Aloe Vera Juice,Health Supplement,Patanjali,40,14 litres,792,169,961,28-03-2021,18-11-2021,22 litres,43 litres
Au178,Aloe Vera Juice,Health Supplement,Patanjali,11,14 litres,958,293,1251,08-03-2021,13-08-2021,30 litres,35 litres
Au179,Mango Panna,Health Supplement,Patanjali,35,12 litres,666,294,960,17-01-2021,03-09-2021,26 litres,45 litres
Au180,Aloe Vera Juice,Health Supplement,Patanjali,32,15 litres,780,147,927,24-01-2021,23-11-2021,25 litres,45 litres
Au181,Uncle Chips(spicy),Snacks,Uncle Chips,27,14 kg,679,109,788,06-04-2021,03-09-2021,26 kg,44 kg
Au182,Uncle Chips,Snacks,Uncle Chips,44,8 kg,988,271,1259,11-03-2021,09-10-2021,33 kg,53 kg
Au183,Uncle Chips(spicy),Snacks,Uncle Chips,30,15 kg,836,273,1109,06-04-2021,25-11-2021,20 kg,60 kg
Au184,Uncle Chips(spicy),Snacks,Uncle Chips,45,15 kg,839,294,1133,05-01-2021,16-06-2021,27 kg,45 kg
Au185,Uncle Chips,Snacks,Uncle Chips,22,9 kg,738,262,1000,15-04-2021,30-11-2021,34 kg,41 kg
Au186,Uncle Chips,Snacks,Uncle Chips,13,13 kg,919,355,1274,13-05-2021,20-10-2021,20 kg,40 kg
Au187,Uncle Chips(spicy),Snacks,Uncle Chips,13,14 kg,527,119,646,18-04-2021,04-07-2021,26 kg,44 kg
Au188,Uncle Chips(spicy),Snacks,Uncle Chips,33,5 kg,714,104,818,20-05-2021,23-10-2021,28 kg,47 kg
Au189,Uncle Chips(spicy),Snacks,Uncle Chips,36,8 kg,790,389,1179,21-04-2021,01-10-2021,32 kg,60 kg
Au190,Uncle Chips,Snacks,Uncle Chips,35,9 kg,617,229,846,21-05-2021,24-10-2021,28 kg,53 kg
Au191,Uncle Chips(spicy),Snacks,Uncle Chips,11,8 kg,938,290,1228,07-04-2021,07-06-2021,32 kg,46 kg
Au192,Uncle Chips(spicy),Snacks,Uncle Chips,28,8 kg,961,279,1240,02-03-2021,30-11-2021,21 kg,44 kg
Au193,Uncle Chips,Snacks,Uncle Chips,17,9 kg,642,264,906,01-06-2021,11-06-2021,21 kg,53 kg
Au194,Uncle Chips,Snacks,Uncle Chips,12,6 kg,940,111,1051,09-04-2021,20-06-2021,32 kg,59 kg
Au195,Uncle Chips(spicy),Snacks,Uncle Chips,31,11 kg,500,136,636,13-03-2021,11-07-2021,30 kg,57 kg
Au196,Uncle Chips(spicy),Snacks,Uncle Chips,32,10 kg,592,222,814,04-03-2021,13-06-2021,23 kg,55 kg
Au197,Uncle Chips(spicy),Snacks,Uncle Chips,20,8 kg,692,188,880,20-05-2021,08-10-2021,30 kg,41 kg
Au198,Uncle Chips(spicy),Snacks,Uncle Chips,22,7 kg,565,272,837,19-03-2021,26-09-2021,25 kg,56 kg
Au199,Uncle Chips,Snacks,Uncle Chips,46,9 kg,786,221,1007,19-02-2021,09-06-2021,33 kg,40 kg
Au200,Uncle Chips,Snacks,Uncle Chips,30,15 kg,578,331,909,06-04-2021,28-06-2021,23 kg,42 kg
Au201,Uncle Chips(spicy),Snacks,Uncle Chips,10,6 kg,560,128,688,28-03-2021,11-10-2021,31 kg,48 kg
Au202,Lays-IMM,Snacks,Pepsi,13,5 kg,530,209,739,20-01-2021,23-10-2021,24 kg,44 kg
Au203,Lays-IMM,Snacks,Pepsi,30,15 kg,931,233,1164,25-02-2021,05-07-2021,28 kg,51 kg
Au204,Lays-ASCO,Snacks,Pepsi,14,15 kg,914,332,1246,25-03-2021,25-10-2021,21 kg,48 kg
Au205,Lays-IMM,Snacks,Pepsi,15,12 kg,1000,129,1129,23-02-2021,05-06-2021,29 kg,54 kg
Au206,Lays,Snacks,Pepsi,37,5 kg,806,208,1014,10-03-2021,18-11-2021,32 kg,46 kg
Au207,Lays-IMM,Snacks,Pepsi,21,8 kg,743,160,903,01-02-2021,06-08-2021,21 kg,42 kg
Au208,Lays,Snacks,Pepsi,27,13 kg,809,343,1152,22-03-2021,26-06-2021,26 kg,52 kg
Au209,Lays,Snacks,Pepsi,23,5 kg,572,107,679,25-03-2021,29-08-2021,25 kg,60 kg
Au210,Lays,Snacks,Pepsi,21,11 kg,527,231,758,19-02-2021,03-11-2021,34 kg,41 kg
Au211,Lays,Snacks,Pepsi,16,13 kg,774,212,986,01-04-2021,14-07-2021,21 kg,49 kg
Au212,Lays-ASCO,Snacks,Pepsi,41,13 kg,828,368,1196,13-03-2021,05-11-2021,28 kg,43 kg
Au213,Lays-IMM,Snacks,Pepsi,42,13 kg,924,299,1223,01-01-2021,19-06-2021,24 kg,46 kg
Au214,Lays-IMM,Snacks,Pepsi,24,12 kg,630,375,1005,29-04-2021,18-10-2021,31 kg,48 kg
Au215,Lays-ASCO,Snacks,Pepsi,18,5 kg,652,358,1010,19-01-2021,25-08-2021,33 kg,44 kg
Au216,Lays-ASCO,Snacks,Pepsi,24,12 kg,589,288,877,14-04-2021,04-08-2021,21 kg,47 kg
Au217,Lays-IMM,Snacks,Pepsi,46,14 kg,674,255,929,26-04-2021,21-07-2021,20 kg,53 kg
Au218,Lays-ASCO,Snacks,Pepsi,33,5 kg,624,103,727,11-02-2021,06-08-2021,33 kg,54 kg
Au219,Lays,Snacks,Pepsi,17,13 kg,504,209,713,31-05-2021,21-11-2021,30 kg,46 kg
Au220,Lays,Snacks,Pepsi,49,6 kg,913,262,1175,13-03-2021,02-09-2021,28 kg,52 kg
Au221,Lays-IMM,Snacks,Pepsi,15,6 kg,748,279,1027,19-02-2021,04-06-2021,28 kg,56 kg
Au222,Lays,Snacks,Pepsi,17,15 kg,533,131,664,23-05-2021,27-06-2021,29 kg,51 kg
Au223,Lays,Snacks,Pepsi,21,6 kg,885,148,1033,10-05-2021,18-08-2021,20 kg,54 kg
Au224,Lays-IMM,Snacks,Pepsi,27,7 kg,716,275,991,28-03-2021,17-09-2021,32 kg,40 kg
Au225,Lays-IMM,Snacks,Pepsi,34,10 kg,703,295,998,11-04-2021,26-06-2021,26 kg,48 kg
Au226,Gamesa,Snacks,Pepsi,25,6 kg,929,190,1119,28-02-2021,07-10-2021,23 kg,57 kg
